# The paternal NCO maps computed in this study are supplied in this table along with crossover recombination
# maps values based on Halldorsson:2019 (DOI:10.1126/science.aau1043).
# The data columns are as follows:
# Chr (chromosome),
# pos (GRCh38 position of center of window),
# map (NCO map, NCOs/Mb per offspring),
# cMperMb (crossover recombination maps - Halldorsson:2019),
# DSB (DSB map, DSBs/Mb per meiosis),
# deltaDSB (NCO/CO difference map),
# oNCO (oNCO map, oNCOs/Mb per offspring).
Chr	pos	map	cMperMb	DSB	deltaDSB	oNCO
chr1	500000	0.2178785609617106	1.319383	0.8979019038468424	0.6169344710656492	0.0011685116851168
chr1	1500000	0.2043358082101091	2.025987	0.8578629728404364	0.4410291060719664	0.0020295202952029
chr1	2500000	0.2027099036410209	4.045639	0.8917523945640836	0.1230945752406703	0.0035055350553505
chr1	3500000	0.1068078615497993	3.945682	0.5061450861991972	-0.1820878878272735	0.0029520295202952
chr1	4500000	0.0736511113223041	3.989745	0.3743993452892164	-0.3588281635871662	0.0022755227552275
chr1	5500000	0.0667462421662709	1.978482	0.3065546086650836	-0.0739270136364252	0.0017220172201722
chr1	6500000	0.0751792435300365	1.847886	0.33767469412014595	0.0195677587754003	0.001660516605166
chr1	7500000	0.0946293636705593	1.244081	0.4033990746822372	0.3207107748415941	0.0017220172201722
chr1	8500000	0.0615679710118192	1.306085	0.27239358404727676	0.0929386617281865	0.0011685116851168
chr1	9500000	0.0508502606251011	1.211168	0.2276244025004044	0.0352891828313323	0.0008610086100861
chr1	10500000	0.0414693386270724	1.268972	0.1912567945082896	-0.0897305941541442	0.0007380073800738
chr1	11500000	0.0271694356193139	1.22428	0.13316334247725561	-0.2761194336457179	0.000430504305043
chr1	12500000	0.0237982764437933	1.07185	0.1166301057751732	-0.2758943460945681	0.0003690036900369
chr1	13500000	0.0285699789635023	1.642403	0.14712797585400922	-0.3844305108859931	0.0005535055350553
chr1	14500000	0.0536169895038386	1.904463	0.2525572180153544	-0.1630449673765314	0.0012915129151291
chr1	15500000	0.0538149411152437	1.604513	0.24735002446097482	-0.0768290552463388	0.0011685116851168
chr1	16500000	0.0541718875857473	1.184814	0.2403838303429892	0.0777845090074294	0.001230012300123
chr1	17500000	0.0414774775717723	1.380741	0.19352473028708922	-0.1313183129155888	0.0009840098400984
chr1	18500000	0.0562895213819088	1.844366	0.2620454055276352	-0.1235256931293014	0.0015990159901599
chr1	19500000	0.0588893146614548	1.617067	0.2678985986458192	-0.0358080509135006	0.0015990159901599
chr1	20500000	0.0628774476305632	0.961265	0.2707350905222528	0.2514875522040707	0.0014760147601476
chr1	21500000	0.0501827500037737	0.859437	0.21791974001509481	0.1975947732367434	0.0011685116851168
chr1	22500000	0.0478163284193161	0.872839	0.2087220936772644	0.1667671565732296	0.0009225092250922
